id;title;content;sender;send_date;receiver;audit_org;del_flag
1;generating Keyboard;Kids;Technician;quantify Avon;2020-08-05;2020-08-05;Home Loan Account
2;Crossing Fish;User-centric lavender;technologies;Sleek Wooden Computer;2020-08-05;2020-08-06;portals online Integrated
3;supply-chains markets Personal Loan Account;redefine process improvement Handmade;Prairie fault-tolerant;generate Legacy;2020-08-05;2020-08-05;Awesome Metal Gloves digital Practical
4;compelling Gorgeous;invoice IB;generate;Israel;2020-08-06;2020-08-05;withdrawal Bedfordshire
5;Personal Loan Account Brazilian Real;channels Sports Practical;Viaduct;Cotton HTTP;2020-08-05;2020-08-05;sky blue Dynamic SSL
6;deploy card;Consultant Dynamic;Licensed;Consultant yellow;2020-08-05;2020-08-05;copying invoice Implementation
7;Music Mauritania Investor;Metal;intranet solid state;impactful Indian Rupee Ngultrum;2020-08-06;2020-08-05;Algerian Dinar
8;paradigms tan mobile;auxiliary JBOD Programmable;Cheese Markets EXE;Boliviano Mvdol Granite;2020-08-05;2020-08-05;B2B XML Sleek Fresh Chair
9;Czech Koruna deliverables mobile;back up Djibouti Franc Tunnel;salmon Division invoice;overriding Ville Georgia;2020-08-05;2020-08-05;Lithuanian Litas Human TCP
10;architectures Orchestrator Assistant;index;azure;lavender Gloves;2020-08-06;2020-08-05;Avon
