id;table_eng_name;data_id;version;data_content;username;realname;jhi_desc;create_time
1;Sudan ROI Sleek Cotton Shirt;Facilitator;firmware;Throughway Producer synergy;Spain;orchid;Avon;2020-08-24
2;Investment Account Practical Open-architected;Cheese empowering;Refined Granite Chips;SDD tan niches;Auto Loan Account Gorgeous Cotton Pizza program;Soft Sleek website;Baby viral;2020-08-24
3;dynamic withdrawal;Dynamic;deposit Plastic primary;Japan;Mobility;transmitting;synthesizing;2020-08-24
4;Generic Plastic Tuna;Kentucky;capacitor bus indexing;Utah;orchid Cotton;grow;budgetary management Engineer;2020-08-24
5;mission-critical lime;withdrawal morph;e-tailers standardization;transmit;Points;context-sensitive Credit Card Account;Portugal Central Iran;2020-08-24
6;withdrawal;Bike;Philippines Investment Account panel;Tuvalu Fantastic Zambia;wireless;Games;solid state Tasty Metal Shoes;2020-08-24
7;Producer;monetize;e-markets Associate indigo;silver Arizona Bedfordshire;Officer;Ergonomic Fresh Soap Gorgeous;facilitate Salad;2020-08-24
8;Rupiah Pizza navigating;bypassing Awesome Fresh Towels;Marketing dynamic violet;Fresh;deliverables;bluetooth Senior;maximized hierarchy;2020-08-25
9;Directives;Fish PCI port;Managed;Configuration Granite global;Licensed Wooden Computer Botswana;Ergonomic hard drive solution;Buckinghamshire Andorra;2020-08-25
10;Creative backing up;Human;quantify;deposit harness;markets;Lead;compressing bleeding-edge;2020-08-25
