id;title;receive_date;receive_org;current_process
1;Euro;2020-08-05;Land copying Fish;Multi-tiered Handmade copying
2;quantify hack deposit;2020-08-05;Internal deposit Small;Supervisor Chad bus
3;Plastic uniform;2020-08-05;Ergonomic Ergonomic;embrace
4;Officer Product;2020-08-05;national Garden;override
5;Plastic emulation;2020-08-05;Analyst invoice Branding;Designer circuit silver
6;Fiji holistic;2020-08-05;functionalities Tennessee Sausages;Towels
7;functionalities framework Garden;2020-08-05;violet Internal;Burundi Franc
8;deposit;2020-08-05;Checking Account lime Credit Card Account;teal
9;Executive Chair;2020-08-05;Representative Cayman Islands Yuan Renminbi;Automotive benchmark Berkshire
10;quantifying;2020-08-05;optical transmitting pink;asynchronous Maryland
