id;fk_work_process_id;todo_org;result;approval_comments;receive_time;approval_time
1;Checking Account Hawaii;Ergonomic Wooden Keyboard Unbranded connecting;Keyboard;Rwanda Incredible;2020-08-05;2020-08-05
2;HTTP productize hub;Implementation Ports;turquoise vertical Walks;utilisation Savings Account integrated;2020-08-05;2020-08-05
3;PNG;Data Awesome Fresh Sausages;microchip;Chair Mountain;2020-08-05;2020-08-05
4;optimize microchip;value-added RSS;compress program;Mobility;2020-08-05;2020-08-05
5;Avon engage;ubiquitous Gloves;Sleek Cotton Bacon;Industrial;2020-08-05;2020-08-05
6;architectures Surinam Dollar;Human feed Music;Avon Incredible Wooden Bacon;Producer;2020-08-05;2020-08-05
7;Branding Colorado Internal;optimize Horizontal magnetic;withdrawal;composite quantifying Ohio;2020-08-06;2020-08-05
8;Solutions;Generic Fresh Tuna;Turkmenistan Associate SAS;Alaska haptic invoice;2020-08-05;2020-08-05
9;Ergonomic Fresh Pants Incredible lime;global payment Niger;intangible United States Minor Outlying Islands Wooden;mobile;2020-08-05;2020-08-05
10;Internal Gorgeous Venezuela;revolutionize;cross-platform Outdoors reinvent;withdrawal;2020-08-05;2020-08-05
