id;title;content;sender;send_date;receiver;audit_org;del_flag
1;firewall data-warehouse Incredible Fresh Ball;withdrawal US Dollar;cyan Berkshire connecting;navigate Personal Loan Account;2020-08-05;2020-08-05;portal innovate Senior
2;Sleek client-server;New York Rhode Island mobile;Pizza;Self-enabling withdrawal;2020-08-06;2020-08-05;Intelligent Rubber Sausages Synergistic District
3;needs-based Unbranded Rubber Table;synthesizing programming;Handmade solid state virtual;Data;2020-08-05;2020-08-05;Functionality connect Cross-group
4;National Generic Metal Fish;Communications Marketing Intelligent Granite Pizza;Licensed Concrete Car Multi-lateral conglomeration;Ameliorated;2020-08-05;2020-08-05;initiatives
5;Puerto Rico;Unbranded application;out-of-the-box;RSS Kenyan Shilling primary;2020-08-05;2020-08-05;Jordanian Dinar
6;wireless Implementation Personal Loan Account;e-tailers Product;Balboa US Dollar Mali payment;capacitor Stravenue;2020-08-06;2020-08-06;aggregate Small Ergonomic Steel Ball
7;bandwidth Public-key;input sensor payment;Somalia empowering unleash;seize capacitor Kids;2020-08-05;2020-08-05;digital Alaska Tunnel
8;Lakes;Identity Borders;multi-byte;multi-byte installation Auto Loan Account;2020-08-05;2020-08-06;digital
9;plum Sleek;pink Credit Card Account IB;multi-byte utilisation deposit;Serbia;2020-08-05;2020-08-05;payment payment
10;Accounts;Bacon leverage Cheese;methodologies Baht Planner;Cambridgeshire e-business Rubber;2020-08-05;2020-08-05;Producer Eritrea Associate
