id;title;receive_date;receive_org;current_process
1;Table yellow;2020-08-05;Euro;Bedfordshire parse Cheese
2;Communications;2020-08-05;Florida Internal Chips;modular transmit
3;navigate;2020-08-05;Handmade Rubber Towels;Granite firewall
4;Nicaragua copying;2020-08-05;Optimization;generate Engineer
5;Salad;2020-08-05;program Bedfordshire;Gorgeous Mission Investment Account
6;Implementation;2020-08-05;Cambridgeshire;card Gorgeous Granite Keyboard transmitting
7;Aruba recontextualize Practical Rubber Computer;2020-08-05;Bedfordshire solid state;transmitting channels
8;Unbranded;2020-08-06;Unbranded;driver
9;mobile Vanuatu;2020-08-05;Rupiah;world-class
10;systems Keys Assistant;2020-08-05;North Dakota solutions Licensed Plastic Bike;Multi-tiered Avon payment
