id;fk_work_process_id;todo_org;result;approval_comments;receive_time;approval_time
1;Savings Account;Intelligent New Hampshire tan;Avon;fuchsia engage;2020-08-05;2020-08-05
2;payment deploy Money Market Account;Tasty Frozen Cheese Flats magnetic;matrix;end-to-end Streets Agent;2020-08-05;2020-08-06
3;Indiana;mobile;Intelligent Corner;Music;2020-08-05;2020-08-05
4;bypass;Table redundant;compress Jamaica Bolivia;Congolese Franc Bacon Product;2020-08-06;2020-08-05
5;transform;JSON e-services Grocery;magenta deposit;Nigeria Home Loan Account;2020-08-06;2020-08-05
6;withdrawal Credit Card Account Licensed;port Rubber compress;client-server system-worthy;Engineer Dominican Republic;2020-08-05;2020-08-05
7;COM plug-and-play;bandwidth;system interface;Human;2020-08-05;2020-08-05
8;Orchestrator;Dynamic integrate Global;Berkshire Savings Account;Kwacha;2020-08-06;2020-08-05
9;blue;partnerships cross-platform recontextualize;override Pants;Missouri Malaysian Ringgit;2020-08-05;2020-08-05
10;deposit Ergonomic hacking;Handcrafted standardization;payment Open-architected whiteboard;Rustic Concrete Towels Knoll;2020-08-05;2020-08-05
