id;fk_work_process_id;todo_org;result;approval_comments;receive_time;approval_time
1;Awesome Plastic Car Vermont aggregate;architect;synthesizing invoice Home Loan Account;Wooden;2020-08-05;2020-08-05
2;Credit Card Account Generic Home Loan Account;violet;Buckinghamshire Island;payment invoice;2020-08-06;2020-08-05
3;withdrawal Niger Spur;Usability Bedfordshire Credit Card Account;Balanced calculate;National;2020-08-06;2020-08-06
4;holistic EXE;Innovative;Convertible Marks Handmade;Orchard mindshare;2020-08-06;2020-08-05
5;Pennsylvania Inverse solution-oriented;encoding;protocol SDD New Hampshire;Steel;2020-08-05;2020-08-05
6;client-server Cross-platform plum;Ball HTTP;Dynamic;e-tailers Central Adaptive;2020-08-06;2020-08-05
7;Officer Egyptian Pound morph;transform Health;B2B;multi-byte standardization;2020-08-06;2020-08-06
8;Web;dedicated Locks users;Personal Loan Account;Triple-buffered;2020-08-05;2020-08-05
9;Credit Card Account;Kyat;niches web-enabled Incredible Rubber Towels;Grocery eyeballs overriding;2020-08-05;2020-08-05
10;Unbranded Rubber Soap reboot Persevering;Incredible Cotton Fish brand;Ergonomic Plastic Towels Tunnel;Intelligent Rubber Towels Garden global;2020-08-05;2020-08-05
